Date,Time,Tree_Number,LWP_(MPa),Quality_Notes
7/8/21,5:05,1,-0.09,NA
7/8/21,5:26,1,-0.04,NA
7/8/21,13:32,1,-1.75,NA
7/8/21,14:00,1,-1.23,NA
7/8/21,5:08,2,-0.08,NA
7/8/21,5:29,2,-0.05,NA
7/8/21,13:36,2,-1.41,NA
7/8/21,14:02,2,-1.19,NA
7/8/21,5:13,3,-0.15,overshoot
7/8/21,5:31,3,-0.04,NA
7/8/21,13:41,3,-1.42,NA
7/8/21,14:07,3,-1.24,NA
7/8/21,5:16,4,-0.03,NA
7/8/21,5:33,4,-0.03,NA
7/8/21,13:49,4,-0.5,NA
7/8/21,14:09,4,-0.42,NA
7/8/21,5:19,5,-0.02,NA
7/8/21,5:22,5,-0.1,NA
7/8/21,13:52,5,-1.46,NA
7/8/21,14:13,5,-1.33,NA
7/8/21,5:24,6,-0.02,NA
7/8/21,5:36,6,-0.04,NA
7/8/21,13:56,6,-0.63,NA
7/8/21,14:15,6,-1.19,NA
7/11/21,5:10,1,-0.31,NA
7/11/21,5:28,1,-0.28,NA
7/11/21,13:45,1,-0.84,NA
7/11/21,14:02,1,-1,NA
7/11/21,5:14,2,-0.92,NA
7/11/21,5:31,2,-0.92,NA
7/11/21,13:48,2,-1.05,NA
7/11/21,14:05,2,-1.06,NA
7/11/21,5:17,3,-0.91,NA
7/11/21,5:33,3,-0.99,NA
7/11/21,13:51,3,-1.11,NA
7/11/21,14:07,3,-1.05,NA
7/11/21,5:20,4,-0.88,NA
7/11/21,5:35,4,-0.84,NA
7/11/21,13:53,4,-1.2,NA
7/11/21,14:10,4,-1.03,NA
7/11/21,5:23,5,-0.94,NA
7/11/21,5:37,5,-0.89,NA
7/11/21,13:56,5,-1.33,NA
7/11/21,14:12,5,-1.22,NA
7/11/21,5:25,6,-0.71,NA
7/11/21,5:40,6,-0.7,NA
7/11/21,13:59,6,-1.17,NA
7/11/21,14:14,6,-1.05,NA
7/14/21,5:04,1,-0.58,NA
7/14/21,5:20,1,-0.56,NA
7/14/21,13:30,1,-1.21,NA
7/14/21,13:34,1,-1.25,NA
7/14/21,5:07,2,-1.29,NA
7/14/21,5:22,2,-1.22,NA
7/14/21,13:36,2,-1.27,NA
7/14/21,13:39,2,-1.35,NA
7/14/21,5:10,3,-1.27,NA
7/14/21,5:25,3,-1.06,NA
7/14/21,13:42,3,-1.17,NA
7/14/21,13:42,3,-1.14,NA
7/14/21,5:13,4,-1.14,NA
7/14/21,5:27,4,-1.09,NA
7/14/21,13:47,4,-1.23,NA
7/14/21,13:50,4,-1.28,NA
7/14/21,5:15,5,-1.2,NA
7/14/21,5:30,5,-1.21,NA
7/14/21,13:52,5,-1.57,NA
7/14/21,13:54,5,-1.35,NA
7/14/21,14:02,5,-1.44,NA
7/14/21,5:18,6,-1.01,NA
7/14/21,5:32,6,-0.96,NA
7/14/21,13:56,6,-1.22,NA
7/14/21,13:59,6,-1.19,NA
7/18/21,5:09,1,-0.02,NA
7/18/21,5:25,1,-0.04,NA
7/18/21,13:36,1,-0.77,NA
7/18/21,13:52,1,-1.15,possible leak
7/18/21,13:55,1,-1.09,NA
7/18/21,5:13,2,-0.04,NA
7/18/21,5:27,2,-0.04,NA
7/18/21,13:38,2,-0.2,NA
7/18/21,13:58,2,-0.3,NA
7/18/21,13:59,2,-0.22,NA
7/18/21,5:15,3,-0.04,NA
7/18/21,5:29,3,-0.03,NA
7/18/21,13:40,3,-0.26,NA
7/18/21,14:01,3,-0.25,NA
7/18/21,5:17,4,-0.04,NA
7/18/21,5:31,4,-0.05,NA
7/18/21,13:43,4,-0.6,NA
7/18/21,14:03,4,-0.4,NA
7/18/21,14:05,4,-0.23,NA
7/18/21,14:06,4,-0.41,NA
7/18/21,5:20,5,-0.02,NA
7/18/21,5:35,5,-0.05,NA
7/18/21,13:45,5,-0.16,NA
7/18/21,14:09,5,-0.41,NA
7/18/21,14:10,5,-0.13,NA
7/18/21,5:23,6,-0.14,leaf a little yellow
7/18/21,5:35,6,-0.04,NA
7/18/21,5:38,6,-0.08,NA
7/18/21,13:47,6,-0.27,NA
7/18/21,14:13,6,-0.94,NA
7/18/21,14:16,6,-0.62,NA
7/18/21,14:17,6,-0.29,NA
7/21/21,5:11,1,-0.06,NA
7/21/21,5:30,1,-0.08,NA
7/21/21,13:36,1,-1.57,NA
7/21/21,14:14,1,-1.47,NA
7/21/21,5:14,2,-0.03,NA
7/21/21,5:29,2,-0.08,NA
7/21/21,13:39,2,-0.68,NA
7/21/21,14:11,2,-0.6,NA
7/21/21,5:15,3,-0.04,NA
7/21/21,5:27,3,-0.06,NA
7/21/21,13:41,3,-0.63,NA
7/21/21,14:03,3,-0.46,NA
7/21/21,14:07,3,-0.81,NA
7/21/21,14:09,3,-0.45,NA
7/21/21,5:17,4,-0.03,NA
7/21/21,5:26,4,-0.06,NA
7/21/21,13:44,4,-0.75,NA
7/21/21,14:00,4,-0.73,NA
7/21/21,5:18,5,-0.04,NA
7/21/21,5:24,5,-0.06,NA
7/21/21,13:46,5,-0.54,NA
7/21/21,13:57,5,-0.58,NA
7/21/21,5:20,6,-0.05,NA
7/21/21,5:22,6,-0.04,NA
7/21/21,13:50,6,-1.19,NA
7/21/21,13:52,6,-0.62,NA
7/21/21,13:54,6,-1.22,NA
7/10/21,15:54,3,-1.07,NA
7/10/21,15:56,5,-1.28,NA
7/10/21,16:00,1,-1.02,NA
7/16/21,8:53,1,-0.84,NA
7/16/21,8:56,2,-1.18,NA
7/16/21,8:58,3,-1.37,NA
7/16/21,9:02,4,-1.12,NA
7/16/21,9:03,5,-1.15,NA
7/16/21,9:05,6,-0.85,NA
7/16/21,9:07,1,-0.75,NA
7/16/21,9:09,2,-1.1,NA
7/16/21,9:12,3,-1.18,NA
7/16/21,9:14,4,-1.19,NA
7/16/21,9:16,5,-1.2,NA
7/16/21,9:18,6,-0.98,NA
7/15/21,11:24,4,-1.21,NA
7/15/21,11:27,5,-1.22,NA
7/15/21,11:31,6,-1.1,NA
7/15/21,13:34,1,-0.89,NA
7/15/21,13:37,2,-1.34,NA
7/15/21,13:40,3,-1.06,NA
7/15/21,13:42,4,-1.13,NA
7/15/21,13:45,5,-1.36,NA
7/15/21,13:48,6,-1.17,NA
7/15/21,13:51,1,-0.87,NA
7/15/21,13:53,2,-1.15,NA
7/15/21,13:56,2,-1.29,NA
7/15/21,13:58,3,-1.14,NA
7/15/21,14:01,4,-1.15,NA
7/15/21,14:03,5,-1.27,NA
7/15/21,14:06,6,-1.11,NA
7/12/21,13:45,2,-1.3,NA
7/12/21,13:48,4,-1.14,NA
7/12/21,13:51,6,-1.02,NA
7/12/21,13:53,5,-1.24,NA
7/12/21,13:56,3,-1.24,NA
7/12/21,13:58,1,-0.68,NA
7/15/21,10:59,1,-0.98,NA
7/15/21,11:01,2,-1.26,NA
7/15/21,11:04,3,-1.17,NA
7/15/21,11:07,4,-1.27,NA
7/15/21,11:09,5,-1.22,NA
7/15/21,11:12,6,-1.18,NA
7/15/21,11:15,1,-1.07,NA
7/15/21,11:18,2,-1.2,NA
7/15/21,11:21,3,-1.18,NA
7/16/21,13:22,1,-0.09,NA
7/16/21,13:24,2,-0.08,NA
7/16/21,13:25,3,-0.06,NA
7/16/21,13:27,4,-0.04,NA
7/16/21,13:28,5,-0.09,NA
7/16/21,13:30,6,-0.07,NA
7/16/21,13:32,1,-0.04,NA
7/16/21,13:33,2,-0.05,NA
7/16/21,13:35,3,-0.06,NA
7/16/21,13:37,4,-0.05,NA
7/16/21,13:38,5,-0.07,NA
7/16/21,13:40,6,-0.07,NA
7/20/21,13:37,1,-1.37,NA
7/20/21,13:40,2,0,cut end wet
7/20/21,13:43,3,-0.33,NA
7/20/21,13:47,4,-1.15,NA
7/20/21,13:49,5,-0.66,NA
7/20/21,13:53,6,-1.34,NA